"Geographic Area Name (NAME)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Type of operation code (TYPOP_LABEL)","Meaning of Employment size of establishments code (EMPSZFE_LABEL)","Year (YEAR)","Number of firms (FIRM)","Number of establishments (ESTAB)","Sales, value of shipments, or revenue ($1,000) (RCPTOT)","Annual payroll ($1,000) (PAYANN)","First-quarter payroll ($1,000) (PAYQTR1)","Number of employees (EMP)","Operating expenses ($1,000) (OPEX)","Total inventories, beginning of year ($1,000) (INVTOTB)","Total inventories, end of year ($1,000) (INVTOTE)","Range indicating percent of total sales, value of shipments, or revenue imputed (RCPTOT_IMP)","Range indicating percent of total annual payroll imputed (PAYANN_IMP)","Range indicating percent of total employees imputed (EMP_IMP)"
"United States","812112","Beauty salons","All establishments","All establishments","2017","66,184","78,887","22,636,143","9,824,364","2,379,544","432,037","X","X","X","10% to less than 20%","Less than 10%","Less than 10%"
"United States","812112","Beauty salons","All establishments","Establishments operated for the entire year","2017","53,789","65,680","21,479,418","9,457,250","2,287,230","411,714","X","X","X","10% to less than 20%","Less than 10%","Less than 10%"
"United States","812112","Beauty salons","All establishments","Establishments operated entire year with less than 5 employees","2017","33,425","36,789","5,183,786","1,521,859","359,005","73,030","X","X","X","10% to less than 20%","Less than 10%","Less than 10%"
"United States","812112","Beauty salons","All establishments","Establishments operated entire year with 5 to 9 employees","2017","11,579","16,856","5,476,922","2,320,703","560,393","111,915","X","X","X","10% to less than 20%","Less than 10%","Less than 10%"
"United States","812112","Beauty salons","All establishments","Establishments operated entire year with 10 to 19 employees","2017","6,767","8,718","5,235,647","2,622,900","636,865","112,983","X","X","X","10% to less than 20%","Less than 10%","Less than 10%"
"United States","812112","Beauty salons","All establishments","Establishments operated entire year with 20 to 49 employees","2017","2,612","2,897","3,987,759","2,131,539","517,656","80,724","X","X","X","10% to less than 20%","Less than 10%","Less than 10%"
"United States","812112","Beauty salons","All establishments","Establishments operated entire year with 50 to 99 employees","2017","302","354","1,173,395","633,526","156,096","22,950","X","X","X","Less than 10%","Less than 10%","Less than 10%"
"United States","812112","Beauty salons","All establishments","Establishments operated entire year with 100 to 249 employees","2017","46","59","349,572","190,072","47,275","7,569","X","X","X","10% to less than 20%","10% to less than 20%","10% to less than 20%"
"United States","812112","Beauty salons","All establishments","Establishments operated entire year with 250 employees or more","2017","7","7","72,337","36,651","9,940","2,543","X","X","X","20% to less than 30%","Less than 10%","Less than 10%"
"United States","812112","Beauty salons","All establishments","Establishments not operated for the entire year","2017","12,521","13,207","1,156,725","367,114","92,314","20,323","X","X","X","10% to less than 20%","Less than 10%","10% to less than 20%"